Author	DOB
Elmar Borg	1908
Jan D'Haese	17 maart 1922
H. Brugge	20ste eeuw
Robert Guiette	9 juli 1895
Jo de Meester	20ste eeuw
Xavier Pruszynski	1907
Lambert Swerts	1907
Waclaw Husarski	20ste eeuw
Tadeusz Breza	1905
Waclaw Sieroszewski	1858
Kazimierz Tetmajer-Przerwa	1865
Venceslas Berent	1873
Emil Zegadlowicz	1888
Tadeusz Boy-Zelenski	1874
Leopold Staff	1878
Juljusz Kaden-Bandrowski	1885
Zofja Nalkowska	1884
I.K. Illakowicz	6 augustus 1892
Ferdynand Goetel	1890
Zofja Kossak-Szczucka	10 augustus 1889
Julian Tuwim	13 september 1894
Jan Parandowski	11 mei 1895
Antoni Slonimski	15 november 1895
Jaroslaw Iwaszkiewicz	20 februari 1894
Maria Jasnorzewska	24 november 1891
Herminia Naglerowa	28 oktober 1890
Maria Dabrowska	6 oktober 1889
Jozef Wittlin	17 augustus 1896
Jan Lechon	1899
Marja Kuncewiczowna	30 oktober 1895
Eva Szelburg Zarembina	1899
Michal Choromanski	1904
Kazimierz Wierzynski	27 augustus 1894
Jozef Czechowicz	1903
Swiatopelk Karpinski	1909
Jozef Lobodowski	1909
St. Pietak	
Amedée Arents	1900
P. Keymeulen	
Saint-Rémy	22 december 1913
Maurits Bilcke	1913
Era Lobet	
Lode Quasters	1911
Jos de Haes	22 april 1920
Elisabeth Dhanens	20ste eeuw
Oscar Dambre	12 november 1896
George Meir	1900
August Corbet	1907
E. van Uytbergen	20ste eeuw
P. van Keymolen	20ste eeuw
Ventura García Caldéron	1886
Franz Zonneberg	1912
Pieter Steur	19de eeuw
Joz. Geleyn	19de eeuw
Michel Demedts	20ste eeuw
Filippo Donini	20ste eeuw
Jan L. Broeckx	17 oktober 1920
Paul Walkiers	20ste eeuw
Piet Zonderzorg	20ste eeuw
Maria Huybrechts	20ste eeuw
José de Ceulaer	1921
Aster Berkhof	18 juni 1920
A. Kriekemans	1906
August Vanistendael	9 januari 1917
Louise Labé	ca. 1520
Lode Cantens	1911
Nic van Beeck	1923
J.L. Pauwels	1899
Lode Roose	16 april 1920
Honoré van Waeyenbergh	25 november 1891
Jan Valvekens	24 december 1894
Frank Meyland	26 augustus 1920
Abel J. Coetzee	27 mei 1906
Gabriela Mistral	7 april 1889
René J. Seghers	27 februari 1904
August Vercauteren	20ste eeuw
Joris Dedier	1920
Firmin van Hecke	21 november 1884
Albert de Longie	10 juli 1916
Adriaan Magerman	28 december 1922
John L. Brown	20ste eeuw
B. Boeyckens	20ste eeuw
R.F. Lissens	1912
Emiel van Hemeldonck	29 november 1897
Remi van de Moortel	18 augustus 1912
Ant. Gobert	20ste eeuw
Marcel Brauns	2 oktober 1913
Gerard Verbeke	15 juli 1910
H. Draye	1911
W.J. Elsman	20ste eeuw
Reninca	13 september 1923
Marius F. Valkhoff	7 januari 1905
C.M. van den Heever	27 februari 1902
Paul Van Keymeulen	3 februari 1920
Lode Campforts	1914
N. Wildiers	20ste eeuw
Louis Janssens	23 juli 1908
Pierre Berteloot	1912
Willem van den Broeck	20ste eeuw
Willy Peremans	28 juli 1907
Jan van den Broeck	1925
W. Vanbeselaere	4 juni 1908
Maurice Schuyten	20ste eeuw
Émile O.J.J.G. Lousse	1905
R.K.J.E. Antonissen	1919
Karel Vertommen	25 januari 1907
Fr. Nooyens	20ste eeuw
Joos Florquin	24 maart 1916
J.A. van Houtte	10 maart 1913
P.J. Vandenhoute	1913
Julia Tulkens	6 oktober 1902
Betsie Hollants	1905
Frans van Boogaerdt	20ste eeuw
Rosa Temmerman	20ste eeuw
Mona van Garsse	20ste eeuw
Pieter-Emmanuel Oyen	20ste eeuw
Paul de Smaele	1906
G.M.J. Duyfhuizen	20ste eeuw
Maxime Deswarte	1907
Frans Verstreken	1923
Roover de Rik	20ste eeuw
Yrjö Kaijärvi	19 april 1896
Hans Reykers	20ste eeuw
Alex de Herdt	20ste eeuw
G. Jo Steenbergen	1922
W. Everaet	20ste eeuw
Paul de Keyser	14 oktober 1891
Jos van der Steen	20ste eeuw
Henri Schoofs	28 mei 1925
Gaston Duribreux	28 mei 1903
Johan van Mechelen	27 december 1925
Fr. Claessens	20ste eeuw
Victor Heylen	11 oktober 1906
Ver. van de Vijver	20ste eeuw
Margriet Baers	26 mei 1889
Hubert Verwilghen	1883
Raymond Pouilliart	1919
Adolf Herckenrath	2 juni 1879
C.J. Lannoy	20ste eeuw
Daan Boens	4 juni 1893
Rik Zienstra	20ste eeuw
Jan Leyten	20ste eeuw
Joris Taels	29 juni 1916
Albert Speekaert	1915
Roger Ghesquiere	20ste eeuw
Andries Poppe	6 juni 1921
Erik van Ruysbeek	25 april 1915
Herman van Snick	19 januari 1914
August Govaers	20ste eeuw
J. Leenen	18 mei 1891
Theo Luyckx	1913
Jules Van Ackere	8 februari 1914
Willem Doevenspeck	29 mei 1904
Leo Simoens	11 april 1915
Ernst Wiechert	1887
Charles van Lerberghe	21 oktober 1861
Josef Goedertier	20ste eeuw
Friedrich Rückert	1788
S.J. de Hoest	19 juni 1804
Frank Baur	20 april 1887
Jan Elemans	30 juli 1924
Luc Debaene	21 april 1920
J.J. Mak	5 juli 1908
N. Machiavelli	1469
S.A. Vosters	1925
Paul Possemiers	20 augustus 1921
Karel de Busschere	27 juni 1912
Jos Smeyers	16 augustus 1926
Lode Wils	1929
M. Hanot	14 februari 1926
Tirso de Molina	24 maart 1579
Eugène van Itterbeek	21 januari 1934
Gaston Durnez	9 september 1928
Maurits Engelborghs	20ste eeuw
Bernard Henry	17 januari 1924
Paulus de Kempenaer	ca. 1554
Pierre Lambrechts	28 juni 1910
Fa Claes	
Roland Jooris	22 juli 1936
Hedwig Speliers	12 juni 1935
Luc Verbeke	24 februari 1924
Joris Delameillieure	20ste eeuw
Miguel de Unamuno	1864
Willy Spillebeen	30 december 1932
Robin Hannelore	21 maart 1937
Anthony Jansen	1621
Ludo Simons	29 juli 1939
Fernand Auwera	26 november 1929
Luc Clerinx	
Reginald De Schryver	15 november 1932
Ernest Schepens	7 maart 1940
Frans Kuipers	1942
Luk Adriaens	1946
Julien Vangansbeke	5 februari 1936
H. van Gorp	4 maart 1935
Frans de Haes	20ste eeuw
Paul Vanderschaeghe	28 november 1930
Leo Pleysier	28 mei 1945
Jef van Gool	15 november 1950
J. Goossens	1944
Jozef Boets	11 juli 1922
Luuk Gruwez	9 augustus 1953
Alstein	18 maart 1947
Frans Deschoemaeker	8 september 1954
Lucienne Stassaert	10 februari 1936
Aleidis Dierick	27 juli 1932
Rita Ghesquiere	18 augustus 1947
José Lambert	1941
Wilfried Adams	23 november 1947
Frans Depeuter	4 april 1937
Chris Coppens	1948
Johanna Kruit	14 december 1940
Lisette Keustermans	1941
Willy Balyon	10 juli 1927
W.F. Jonckheere	1938
Patricia Lasoen	25 september 1948
Piet van Aken	15 februari 1920
J.P. Heyen	20ste eeuw
Hervé J. Casier	18 september 1943
Hanna Kirsten	23 december 1847
Dirk Verbruggen	16 januari 1951
Jozef de Vos	1945
Hendrik Carette	17 december 1946
Marcel Janssens	28 februari 1932
Jaak De Maere	1942
Philip Vermoortel	27 december 1955
Elke Brems	1971
Bernard Verstraete	18 september 1946
Jo Gisekin	14 mei 1942
Robert Lagrain	9 mei 1928
Koen Vermeiren	18 december 1953
Marcel de Smedt	1948
Mark Kinet	20ste eeuw
Katrien Desiere	20ste eeuw
Willem de Groot	10 februari 1597
Chris de Stoop	1958
G. Geerts	1935
Johan Corveleijn	19 december 1948
A.B. de Cooman	1949
Stefaan Evenepoel	1958
Rudolf van de Perre	27 juli 1934
Patricia vanden Bulcke	20ste eeuw
Charles Ducal	3 april 1952
Vic Nachtergaele	1935
Willy Vanhaelewijn	20ste eeuw
Jan van Coillie	5 januari 1957
Hans de Greve	1963
Michelangelo	1475
Lieven de Cauter	20ste eeuw
Lenze L. Bouwers	16 mei 1940
Lionel Deflo	31 januari 1940
Bernard Dewulf	30 januari 1960
Erik Spinoy	22 mei 1960
E. Dekker	1943
Gaby Leijnse	20ste eeuw
Jeroen De Rycker	20ste eeuw
Luc Lamote	20ste eeuw
Jacob Baert	20ste eeuw
Roger Devriendt	14 september 1948
Frans de Clercq	20ste eeuw
Toine Hovens	20ste eeuw
Ernst van Altena	11 december 1933
Paul Koeck	20 augustus 1940
Eric Derluyn	17 november 1943
Marleen de Crée-Roex	1941
Julien Vermeulen	1953
Dirk Christiaens	1 maart 1942
Mark de Bie	5 februari 1939
Luc Vanhaecke	20ste eeuw
Ger Schmook	17 augustus 1898
Maurits Schuyten	20ste eeuw
Annie Verhaeghe	1960
Bies van Ede	27 april 1957
Karel Porteman	20 juni 1938
Frank Pollet	5 juli 1959
Dirk de Geest	1957
Jan Flamend	1959
Kees Vellekoop	10 november 1940
Frank Willaert	24 mei 1952
Martine de Clercq	1951
Mark Van Tongele	1956
Elisabeth Marain	24 mei 1943
Elisabeth Leijnse	1961
J.L. Weverbergh	26 mei 1930
Marc Reynebeau	6 mei 1956
Frans Berkelmans	1930
Karel Roelants	20ste eeuw
Anne van Herreweghen	1948
Luc Renders	1948
Koenraad Goudeseune	23 februari 1965
Hugo Heyens	20ste eeuw
Gilbert Swimberghe	14 mei 1927
Marc Potiau	20ste eeuw
Dante Alighieri	mei/juni 1265
Luk Lambrechts	1959
Ray Gilles	15 juni 1923
Guido De Bruyn	1955
Philips Koninck	1619
Roger Vansevenant	20ste eeuw
D. Delabastita	14 maart 1960
Urbain Marin	1945
Jef Snauwaert	1949
J.J. Roest van Alkemade	15 april (gedoopt) 1783
Piet Couttenier	1947
J. van Iseghem	1952
Ivo Michiels	8 januari 1923
Gaston de Mey	1 augustus 1933
Jo Tollebeek	3 oktober 1960
Maurits van Saene	1919
Bert Govaerts	1952
Joris Gerits	6 september 1943
Jean-Luc Lambreghts	1965
Toon Saelens	20ste eeuw
Bart Vonck	27 februari 1957
Jean-Paul den Haerynck	1955
J. Hoogteijling	20ste eeuw
Bert Bevers	1954
Gilbert Decock	20ste eeuw
Rino Feys	20ste eeuw
Emile Clemens	1954
Raf Coorevits	20ste eeuw
Patrick Cornillie	11 april 1961
Mark Eyskens	29 april 1933
Peter Ghyssaert	3 januari 1966
Raf de Smedt	1940
Jo Govaerts	23 juni 1972
Gilbert van Hool	1929
Publius Ovidius Naso	20 maart 43 v.Chr.
Rik Deweerdt	20ste eeuw
Bruneau	20ste eeuw
Steven Wilsens	14 december 1937
Leen Huet	1966
Francis Bacon	28 oktober 1909
Jan Vermeer	31 oktober (gedoopt) 1632
Ian	1941
A.F.Th. van der Heijden	15 oktober 1951
J.J. de Rooij	25 oktober 1931
Greet Vandepitte	1953
Johan Reijmerink	1945
Edgar Degas	19 juli 1834
Mark Verstockt	1930
Herbert van Uffelen	1953
J.J. Grandville	13 september 1803
J.C. Kannemeyer	1939
Tom Pijnenborg	31 mei 1971
Els Vos	1963
Bart Janssen	1959
Dirk Geeraerts	1955
Ewoud de Kat	10 maart 1904
Cees Verraak	1954
Maurice van den Dries	20ste eeuw
Jutka Rona	1934
Kishin Shinoyama	3 december 1940
Menko ten Cate	20ste eeuw
Albrecht Dürer	1427
August Thiry	1948
Rafaël Gorsen	18 juli 1942
Hubert de Vogelaere	4 november 1946
L. Beheydt	16 mei 1948
Dany Tulkens	1953
Bert Nienhuis	1944
Hartmann von Aue	1160/1165
Hilde van Sumere	15 oktober 1932
Gerrit Serné	20ste eeuw
Jo Boon	1939
Chris van Houts	25 december 1953
Lieve Blancquaert	1963
Dees de Bruyne	1940
Hans Vermeulen	20ste eeuw
Jos Verhoogen	1921
Dirk Huyghe	1956
M. Februari	23 februari 1963
Connie Palmen	25 november 1955
Jacques De Visscher	20 juli 1943
Leo Apostel	4 september 1925
Maryse Vincken	1952
J. Van Acker	20ste eeuw
Stefaan Somers	21 december 1970
Matteo Maria Boiardo	1441
Hendrik Schreuder van Draag	17de eeuw
Robert Lema	20ste eeuw
Eddy Walrave	20ste eeuw
J.J. Goossens	1930
Luc Devoldere	1 november 1956
Rik Vermeersch	20ste eeuw
Judit Gera	1954
Roger Raveel	15 juli 1921
Serge van Duijnhoven	10 september 1970
Paul Verhuyck	27 augustus 1940
Annemiek Neefjes	1964
Jacob van Maerlant	ca. 1230
Jan Moritoen	ca. 1355
Anna Bijns	5 maart 1493
François Haverschmidt	14 februari 1835
Tony Le Duc	20ste eeuw
J.P. Stoop	20ste eeuw
Carl de Keyzer	27 december 1958
Jan Fabre	1958
Johan Daenen	1958
Yves T'Sjoen	1966
Giovanni Bellini	1430
Victor Burgin	1941
Kasimierz Bendkowski	2 januari 1948
Elma van Haren	29 augustus 1954
Kaat Tilley	20 september 1959
Ad Zuiderent	28 mei 1944
P. de Hooch	20 november 1629
Pierre Dumonstier le neveu	1585
K. van der Stighelen	1959
Anna Maria van Schurman	5 november 1607
Thérèse Schwartze	20 december 1851
M.A. Schenkeveld-van der Dussen	10 oktober 1937
Anna Enquist	19 juli 1945
Luk van den Dries	1957
Eric de Volder	10 mei 1946
Eva Gerlach	9 april 1948
Ludo Bekkers	1924
Jan Baetens	1957
Martin Vaughn-James	1943
Art Spiegelman	15 februari 1948
S. Clay Wilson	25 juli 1941
Alberto Breccia	15 april 1919
Raul	20ste eeuw
Lorenzo Mattotti	24 januari 1954
Claudio Piersanti	1954
Edouard Baudouin	20ste eeuw
Guido van Genechten	19 augustus 1957
Pascal Cornet	20ste eeuw
Lieven Baeyens	10 maart 1951
Kristiaan Borret	1966
Guido Vrolix	1961
Rudyard Kipling	30 december 1865
Edgar Rice Burroughs	1875
Dominique Goblet	8 juli 1967
Jan van Loy	30 oktober 1964
Dianne Hagen	1964
Juergen Teller	28 januari 1964
Galileo Galilei	15 februari 1564
James Joyce	2 februari 1882
Robbert-Jan Henkes	1962
Erik Bindervoet	1962
Joh. de Graaff	18de eeuw
Prosper Dinges	20ste eeuw
Ultra Violet	6 september 1935
Johnny Maeschalck	20ste eeuw
Mustafa Stitou	20 oktober 1974
Walter Verdin	20ste eeuw
Jan Lauwereyns	1969
Saskia de Coster	1976
Lucio Fontana	19 februari 1899
Geertrui Daem	29 april 1952
Monica Droste	1958
Guy Rombouts	1949
Bob van Laerhoven	8 augustus 1953
Didi de Paris	10 mei 1957
Pjeroo Roobjee	7 februari 1945
Arthur Rimbaud	20 oktober 1854
Pieter Boskma	9 mei 1956
Gert-Jan van Rooij	20ste eeuw
Felx Tirry	20ste eeuw
Peter Cox	20ste eeuw
Peter Sander	20ste eeuw
Wouter Verbeylen	20ste eeuw
Eric Vos	20ste eeuw
Hans Groenewegen	25 mei 1956
Idel Ianchelevici	5 mei 1909
Georges Wildemeersch	12 november 1947
Jan Cox	27 augustus 1919
Geert Buelens	5 februari 1971
Pierre Alechinsky	19 oktober 1927
Stefan Brijs	29 december 1969
Jan Vaerten	5 augustus 1909
Florent Wellens	1921
Maurice D'Haese	7 november 1919
Frans Denissen	7 september 1947
Johan Vandenbroucke	27 april 1961
Karl Vissers	1961
Erik Vlaminck	2 juli 1954
F.C. Terborgh	14 januari 1902
Ernest Michel	25 november 1899
Louis van Loo	20ste eeuw
Jacob Bendien	16 april 1890
J.A. Dèr Mouw	24 juli 1863
M.B. Frenkel	1904
Karel Leroux	13 maart 1895
Paul Rogghé	16 december 1904
Stefan George	1868
Giacomo Antonini	18 september 1901
C.L. Sciarone	1907
B. Roest Crollius	6 mei 1912
Aulus Persius Flaccus	4 december 34
F.W. van Heerikhuizen	5 augustus 1910
J.C. Noordstar	10 juli 1907
Plato	428 v.Chr.
Amaat Honoraat Joos	3 mei 1855
Rudolf Escher	8 januari 1912
Piet Verhoog	1893
Gerard van Gelder	1912
J. Kamerbeek jr.	11 november 1905
E.M. Uhlenbeck	1913
A. de Buck	22 september 1892
Grietje Drewes	20ste eeuw
J.G. Bomhoff	1903
A.E. Cohen	4 december 1913
H.J. Drossaart Lulofs	1906
W. Blok	24 november 1922
Saskia de Boer	20ste eeuw
J.J. Terwen	1916
H.T. Wallinga	8 januari 1925
J.C. Opstelten	2 september 1891
L. Geschiere	14 december 1910
R.E.H. Westendorp Boerma	1911
Karel Reijnders	7 mei 1920
M.C. van den Toorn	4 januari 1929
C. Soeteman	19 juli 1912
C. de Deugd	14 december 1924
Karel van het Reve	19 mei 1921
J.A. Huisman	30 april 1919
C.J. Ruijgh	1930
Z.R. Dittrich	11 december 1923
H. Schultink	3 april 1924
A.J. van Duyvendijk	1955
G.W. Locher	23 maart 1908
Frederik Willem Nicolaas Hugenholtz	1 augustus 1839
P.E. Josselin de Jong	1922
T.A. Birrell	1922
Simon Kooyman	1915
F.R. Kraus	1910
Christiaan Hooykaas	26 december 1902
D.J. Kohlbrugge	20ste eeuw
A.B. Breebaart	20ste eeuw
J.C. Anceaux	1920
A. Chorus	1909
J.H. Waszink	1908
A. Mooij	1944
F. Drijkoningen	1928
P.H. Pott	20ste eeuw
J. M. Welcker	19de eeuw
B. Siertsema	5 november 1917
B.H. Wind	20ste eeuw
J. van der Eng	1925
M.H. Schenkeveld	1928
W. van Ravesteyn	15 oktober 1876
J.W. de Jong	1941
Frank C. Maatje	1934
J.H. Croon	1921
Wiecher Zwanenburg	1933
Antonie Cohen	1922
Jan van der Veen	1923
P.J.H. Pijls	20ste eeuw
N.C.H. Wijngaards	29 juni 1911
H.W. Pleket	1930
F. de Tollenaere	8 juli 1912
F.R. Noske	13 december 1920
P.A.M. Geurts	6 april 1914
I.N. Bulhof-Rutgers	1932
H. Mol	1917
W.J.H. Caron	19 juli 1901
Jacob Smit	1908
H.P.H. Teesing	6 maart 1907
P.C. Paardekooper	6 november 1920
G. Nuchelmans	1922
F. Bulhof	1930
W. Drop	6 juni 1929
F.L. Bastet	20 september 1926
J.A. van Dorsten	1933
G.F. Bos	20ste eeuw
H. Roose	1916
A.Z. van 't Hoff Stolk-Huisman	26 november 1911
J.J. Wesselo	1940
S.G. Nooteboom	1939
B.N. Teensma	1932
Louise Statenus	20ste eeuw
A.A. Prins	20ste eeuw
P.H. van Laer	1906
W.A.M. de Vroomen	1941
D.M. Bakker	24 juni 1934
J.M. Bremer	1932
Steven ten Brinke	9 april 1929
D.R. Jonker	1925
T.A. van Dijk	7 mei 1943
Cor van Bree	1932
Raoul Van Caenegem	14 juli 1927
B.Th. Tervoort	29 mei 1920
R.S. Prins	20ste eeuw
E. Wagenaar-Cornelissen	20ste eeuw
P. Gaeffke	6 december 1927
J.G. Schippers	20ste eeuw
J.G. Kooij	9 april 1940
A.L. des Tombe	20ste eeuw
Ronald Landheer	1936
W. Hogendoorn	1936
A. Kraak	1928
Co Vet	1942
P.F. Schmitz	10 augustus 1939
W.J.M. Levelt	17 mei 1938
L. Pepplinkhuizen	20ste eeuw
J. F. P. de Smit	20ste eeuw
A.W.G. Eijgendaal	1943
J.W. de Vries	14 december 1937
Sjaak de Mey	1935
A. M. de Wachter-Schaerlaekens	1943
Willem Mooijman	1925
H.J. Brinkman	1934
B.P.F. Al	1945
Guus Extra	1946
W. Kaper	20ste eeuw
G.F.H. Raat	1946
M. van de Ven	20ste eeuw
Gerrard Verhage	28 december 1948
Horst A. Steinmetz	1934
Gerard Kempen	1943
D.J.M. ten Berge	20ste eeuw
W.C. van Unnik	28 augustus 1910
H.A.J.F. Misset	5 januari 1922
C. Reedijk	1 april 1921
E.K. Grootes	22 maart 1936
J.G.P. Best	1941
Jeanette van der Valk	20ste eeuw
A.A. Verrijn Stuart	1923
P.G.J. van Sterkenburg	1942
Paul van Hauwermeiren	1936
Johan Mönninck	1933
Alfred G.H. Kerckhoffs	1939
A. Ollongren	9 november 1928
A.G. Sciarone	1939
Alain Bossuyt	20ste eeuw
Harry van der Hulst	1953
L. Boves	1946
A.C.M. Rietveld	1949
A. Dees	4 november 1928
A. Meintema	20ste eeuw
Teun Hoekstra	24 januari 1953
S.J. Lenselink	28 juni 1912
Paul Pelckmans	1953
Frank Jansen	1952
Th. van den Hoek	1944
Flor Aarts	1934
Ariane van Santen	1944
Hannes Meinkema	12 september 1943
Harry Bekkering	1944
J. van Marle	1950
R. Schreuder	1950
W. Pijnenburg	1942
M.J. Moortgat-Keukelinck	20ste eeuw
Quirinus Ignatius Maria Mok	30 juli 1925
Erik Maten	1944
D. Otten	3 juli 1939
G.J. de Haan	1944
Arthur Eijffinger	1947
P. Th. van Reenen	1941
Marie-Louise Montulet	20ste eeuw
Dina Aristodemo	1941
Louk Wijsen	1935
A. Feitsma	1928
M.F. Fresco	9 juli 1925
A.J. van Essen	1938
Dolf Hartveldt	1946
Antoine Braet	1942
Geert Koefoed	1941
Jelle Kaldewaij	1954
Jos Hoogeveen	20ste eeuw
Rosalien van Witsen	20ste eeuw
Charles Grivel	1936
A.G.H. Bachrach	9 december 1914
Françoise van Rossum-Guyon	1932
A.J.A. Fehr	12 oktober 1906
L.D. Couprie	1 december 1938
Willem Adelaar	1948
J.A. de Vries	1951
J.A. Dautzenberg	29 december 1944
Jan van Bakel	11 december 1927
Theo van Els	14 mei 1936
Bernadette van der Heijden	20ste eeuw
B.C. Damsteegt	5 juli 1915
W.U.S. van Lessen Kloeke	1938
J.P. Fokkelman	23 maart 1940
Peter Verstegen	30 juli 1938
Annemiek Geurts	20ste eeuw
Marijke Loots	1951
P.J. Peverelli	1956
Julia van Gunsteren-Viersen	20ste eeuw
Frank Berndsen	1949
Jan Koster	8 juli 1945
M. Uhlenbeck-Winkel	20ste eeuw
A. Sassen	25 juni 1921
B.J. Hoff	1926
V.J.J.P. van Heuven	1949
J.G. Kruyt	10 juli 1952
J. Hoftijzer	20ste eeuw
F.R. Klinkhamer	1956
B.P. Visser	20ste eeuw
Jeanette den Ouden	1959
Geert Adriaens	20ste eeuw
Chantal Keijsper	1965
Jan Boucquet	16de eeuw
Harry Verschuren	1944
Adeline Petersen	20ste eeuw
Will Derks	1956
Ton van Haaften	1953
Annelies Pauw	1952
Maarten Klein	1947
Arie Verhagen	1951
J.J.L. Smolenaars	20ste eeuw
Wim Zonneveld	1950
Hans Heestermans	22 januari 1943
A.M. Mertens	20ste eeuw
Rob Doeve	1955
Ria Lemaire-Mertens	1943
Norval S.H. Smith	30 september 20ste eeuw
Bert Schouten	1946
Henk Bloemhoff	19 augustus 1948
C.S.M. Rademaker	1930
Guy Janssens	1 juni 1950
Annechien Vink	1952
Fokkelien van Dijk-Hemmes	1943
Arrie van Berkel	1944
Erica C. García	1934
J. Knol	20ste eeuw
Mineke Schipper	1938
H.F.A. van der Lubbe	17 oktober 1911
Theo Walraven	20ste eeuw
Dorothé te Riele	20ste eeuw
H. Hulshof	1946
Erica Huls	1950
Adriaan Pauw	1 november 1585
Sophie Levie	1951
Frans de Haan	1935
Hans Bennis	1951
Bob Rigter	1934
J. Baart	1957
André Kramp	1941
N. van der Laan	17 oktober 1890
H.F. van de Velde	1969
Rob Wolfs	22 juli 1951
H. Proeme	20ste eeuw
B. van Heusden	1957
Henk Nuiten	1933
Arie Schippers	1947
Ina Schermer-Vermeer	20ste eeuw
Arthur Kooyman	20ste eeuw
Lo van Driel	1944
Dick Schram	1952
L.C.W. Pols	1941
Johan Kerstens	1946
K. de Bot	20ste eeuw
Kees-Jan Backhuys	20ste eeuw
Arnold Evers	20ste eeuw
Korrie Korevaart	1955
Aafke Hulk	1952
Tanja Janssen	1958
Grietje van Ginneken	20ste eeuw
Ben van der Have	1941
J.J. Moerman	28 maart 1880
John W.M. Verhaar	1925
Tj.A. Westendorp	1936
Päivi Schot-Saikku	1935
Els van Houten	20ste eeuw
Sandro Briosi	1941
R.M. van Zonneveld	13 december 1942
Jef Bogman	13 januari 1950
Kees Meerhoff	20ste eeuw
T. Kruiger	20ste eeuw
M.K. van Dort-Slijper	1939
C.D. Grijns	1924
Jacqueline Bel	1958
Peter van Bart	1958
Jeannette M. Hollaar	22 januari 1933
Aaldrik Koops	20ste eeuw
Will van Peer	3 augustus 1947
Johan van Benthem	1949
Martin Schouten	8 juli 1938
Peter V. Zima	1946
Jaap de Jong	1961
M.P.R. van den Broecke	25 mei 1942
P. Schellens	1949
Theo A.J.M. Janssen	1944
Marijke J. van der Wal	19 december 1949
F.H. Jansen	20ste eeuw
H.J. Pott	1952
Mieke Trommelen	1951
Gert de Jager	1957
A. Moerdijk	1944
Els Elffers	1946
Marc van der Poel	1957
Hans Renders	1957
Walter Haeseryn	1954
Reinier Salverda	1948
Maartje Süter	20ste eeuw
A.M. Duinhoven	1938
W.G. Klooster	1935
W.H.M. Mattens	20ste eeuw
Margreet Onrust	1952
U. Schuurs	1955
Pierre Swiggers	20ste eeuw
Karel van den Eynde	20ste eeuw
Willy Vandeweghe	1948
S. De Vriendt	1929
J.J. Kloek	1 augustus 1943
W.W. Mijnhardt	1950
O.J. Schrier	20ste eeuw
Els Jongeneel	1953
Fred Weerman	1957
Jacomine Nortier	20ste eeuw
